work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2022,Data Scientist,Data Science,GBP,197011,242323.53,US,EX,PT,Remote,UK,L
2021,Data Engineer,Data Engineer,JPY,122303,1112.9573,CN,EN,FL,In-person,JP,M
2022,Data Engineer,Data Engineer,INR,187242,2340.525,UK,EN,FT,In-person,IN,M
2022,Data Engineer,Data Engineer,INR,101908,1273.8500000000001,US,EN,CT,In-person,IN,S
2020,Data Analyst,Analysis,us dolars,154506,154506.0,DE,EX,FL,In-person,US,S
2022,Machine Learning,ML/AI,us dolars,52369,52369.0,DE,MI,FL,Remote,MX,M
2020,Data Engineer,Data Engineer,GBP,35900,46670.0,JP,EN,FL,In-person,UK,M
2022,Data Engineer,Data Engineer,GBP,70733,87001.59,US,MI,CT,Hybrid,UK,S
2022,Data Scientist,Data Science,INR,117236,1465.45,CN,EN,FT,Hybrid,IN,S
2020,Data Scientist,Data Science,INR,161661,2182.4235,US,EN,FT,In-person,IN,S
2020,AI Engineer,CV/AI,INR,90044,1215.594,US,EN,FT,Hybrid,IN,S
2022,Machine Learning,ML/AI,us dolars,115553,115553.0,US,SE,FL,Hybrid,CN,S
2021,Statistician,Analysis ,us dolars,118435,118435.0,IN,SE,PT,In-person,CN,L
2020,Data Scientist,Data Science,us dolars,79008,79008.0,JP,MI,FL,In-person,US,L
2021,Statistician,Analysis ,us dolars,96794,96794.0,MX,MI,FT,In-person,US,L
2021,Data Analyst,Analysis,EUR,109134,133143.48,UK,SE,CT,Remote,DE,S
2021,Statistician,Analysis ,us dolars,163938,163938.0,UK,EX,PT,In-person,CN,M
2020,Data Engineer,Data Engineer,GBP,82890,107757.0,UK,SE,PT,In-person,UK,M
2021,Statistician,Analysis ,us dolars,145259,145259.0,IN,SE,FL,Remote,US,S
2020,AI Engineer,CV/AI,JPY,59404,558.3976,JP,EN,CT,In-person,JP,L
2021,Data Analyst,Analysis,GBP,95223,131407.74,CN,SE,PT,Remote,UK,M
2022,Data Engineer,Data Engineer,EUR,30637,32781.590000000004,JP,EN,FT,Hybrid,DE,S
2022,Statistician,Analysis ,INR,133186,1664.825,IN,EN,FL,In-person,IN,L
2020,Data Analyst,Analysis,EUR,45828,54077.03999999999,CN,MI,FL,In-person,DE,L
2022,Data Analyst,Analysis,GBP,131976,162330.48,US,EX,FT,Remote,UK,L
2022,Data Engineer,Data Engineer,INR,75097,938.7125000000001,DE,EN,FT,In-person,IN,L
2021,Statistician,Analysis ,EUR,143271,174790.62,US,EX,FT,Hybrid,DE,L
2020,Data Analyst,Analysis,EUR,62022,73185.95999999999,UK,MI,PT,In-person,DE,L
2021,Data Analyst,Analysis,GBP,62202,85838.76,US,MI,CT,Remote,UK,L
2021,Data Scientist,Data Science,us dolars,58704,58704.0,IN,MI,PT,Remote,US,L
2021,Data Analyst,Analysis,JPY,121411,1104.8401000000001,UK,EN,CT,Hybrid,JP,L
2021,Data Scientist,Data Science,EUR,159688,194819.36,DE,EX,FL,In-person,DE,S
2021,Statistician,Analysis ,JPY,53641,488.1331,CN,EN,CT,Hybrid,JP,S
2021,Statistician,Analysis ,us dolars,67479,67479.0,CN,MI,FT,In-person,CN,M
2021,Statistician,Analysis ,us dolars,52027,52027.0,UK,MI,PT,In-person,CN,S
2020,Deep Learning,DL/AI,GBP,72912,94785.6,MX,MI,FT,Hybrid,UK,S
2022,Statistician,Analysis ,us dolars,138227,138227.0,MX,SE,FL,In-person,MX,S
2021,Data Analyst,Analysis,GBP,158773,219106.74,US,EX,PT,In-person,UK,M
2021,Data Engineer,Data Engineer,us dolars,139658,139658.0,MX,SE,PT,In-person,MX,M
2021,Data Scientist,Data Science,us dolars,72692,72692.0,JP,MI,FT,In-person,MX,M
2021,Deep Learning,DL/AI,us dolars,128884,128884.0,JP,SE,PT,Hybrid,MX,S
2021,Statistician,Analysis ,us dolars,62209,62209.0,CN,MI,FT,Hybrid,US,M
2021,Statistician,Analysis ,us dolars,86738,86738.0,JP,MI,CT,Hybrid,MX,L
2022,Data Engineer,Data Engineer,INR,67242,840.5250000000001,UK,EN,FL,Remote,IN,M
2022,Data Engineer,Data Engineer,JPY,171013,1470.7118,JP,EN,FT,In-person,JP,S
2021,AI Engineer,CV/AI,EUR,168145,205136.9,IN,EX,FL,Remote,DE,S
2022,Data Scientist,Data Science,INR,137966,1724.575,CN,EN,PT,In-person,IN,S
2020,Statistician,Analysis ,us dolars,198899,198899.0,DE,EX,FL,In-person,CN,M
2021,Machine Learning,ML/AI,us dolars,198168,198168.0,JP,EX,FL,Hybrid,CN,S
2020,Data Analyst,Analysis,JPY,96457,906.6958000000001,IN,EN,FL,Remote,JP,M
2020,Data Analyst,Analysis,JPY,159257,1497.0158000000001,IN,EN,PT,In-person,JP,S
2021,Machine Learning,ML/AI,us dolars,98309,98309.0,UK,MI,CT,Remote,MX,L
2022,Statistician,Analysis ,INR,116496,1456.2,CN,EN,CT,Remote,IN,S
2020,Deep Learning,DL/AI,INR,191340,2583.09,UK,EN,CT,In-person,IN,M
2021,Statistician,Analysis ,us dolars,140078,140078.0,DE,SE,FT,Remote,US,L
2020,Data Engineer,Data Engineer,EUR,31865,37600.7,DE,EN,FT,In-person,DE,L
2020,Machine Learning,ML/AI,EUR,126242,148965.56,US,SE,PT,In-person,DE,S
2020,Statistician,Analysis ,EUR,58887,69486.66,DE,MI,CT,In-person,DE,L
2020,Deep Learning,DL/AI,us dolars,126047,126047.0,CN,SE,FL,Hybrid,MX,S
2022,Deep Learning,DL/AI,us dolars,194551,194551.0,MX,EX,CT,Remote,CN,S
2020,Statistician,Analysis ,us dolars,158863,158863.0,MX,EX,FT,Hybrid,CN,L
2020,Statistician,Analysis ,INR,70478,951.453,CN,EN,PT,In-person,IN,S
2020,Data Scientist,Data Science,us dolars,187473,187473.0,UK,EX,CT,In-person,US,S
2022,AI Engineer,CV/AI,GBP,189574,233176.02,IN,EX,FT,In-person,UK,M
2020,Data Analyst,Analysis,us dolars,141750,141750.0,US,SE,FT,In-person,US,L
2020,Machine Learning,ML/AI,us dolars,43394,43394.0,MX,EN,FL,In-person,CN,M
2022,Machine Learning,ML/AI,us dolars,170334,170334.0,MX,EX,CT,In-person,MX,S
2022,Statistician,Analysis ,INR,34487,431.08750000000003,DE,EN,FL,Remote,IN,S
2022,AI Engineer,CV/AI,us dolars,188413,188413.0,IN,EX,CT,In-person,US,L
2020,AI Engineer,CV/AI,INR,138924,1875.474,UK,EN,PT,In-person,IN,S
2022,Data Analyst,Analysis,JPY,174642,1501.9212,JP,EN,CT,In-person,JP,L
2022,Statistician,Analysis ,JPY,87268,750.5048,US,EN,FL,In-person,JP,S
2020,AI Engineer,CV/AI,GBP,59605,77486.5,CN,MI,FL,Hybrid,UK,S
2022,Data Engineer,Data Engineer,us dolars,101602,101602.0,IN,SE,FT,Remote,CN,M
2020,Data Scientist,Data Science,us dolars,187795,187795.0,UK,EX,CT,Remote,MX,L
2021,Data Analyst,Analysis,JPY,108206,984.6746,UK,EN,CT,In-person,JP,S
2022,Deep Learning,DL/AI,GBP,123375,151751.25,US,EX,PT,In-person,UK,S
2021,Data Engineer,Data Engineer,EUR,123937,151203.13999999998,US,EX,FT,Remote,DE,L
2020,Deep Learning,DL/AI,INR,86921,1173.4335,DE,EN,FL,Remote,IN,L
2022,Machine Learning,ML/AI,us dolars,90760,90760.0,DE,MI,CT,Remote,MX,L
2020,Statistician,Analysis ,EUR,171321,202158.78,CN,EX,FT,In-person,DE,L
2021,Statistician,Analysis ,EUR,97847,119373.34,CN,SE,PT,Remote,DE,M
2020,Statistician,Analysis ,GBP,127547,165811.1,US,EX,FT,Hybrid,UK,S
2022,Data Engineer,Data Engineer,INR,73839,922.9875000000001,US,EN,CT,Hybrid,IN,L
2022,AI Engineer,CV/AI,GBP,69673,85697.79,IN,MI,CT,In-person,UK,S
2021,Data Scientist,Data Science,us dolars,33642,33642.0,DE,EN,PT,Remote,US,M
2020,Data Analyst,Analysis,EUR,167410,197543.8,UK,EX,PT,Remote,DE,M
2022,Statistician,Analysis ,INR,81761,1022.0125,MX,EN,PT,Hybrid,IN,L
2021,Statistician,Analysis ,EUR,39622,48338.84,MX,EN,FL,Remote,DE,S
2022,Deep Learning,DL/AI,us dolars,78423,78423.0,MX,MI,FT,In-person,US,S
2022,AI Engineer,CV/AI,us dolars,72873,72873.0,DE,MI,FT,In-person,CN,S
2020,Data Engineer,Data Engineer,us dolars,77565,77565.0,DE,MI,FT,In-person,US,M
2022,Data Engineer,Data Engineer,us dolars,168878,168878.0,US,EX,FL,Remote,CN,M
2020,Statistician,Analysis ,INR,30757,415.2195,MX,EN,FT,Remote,IN,L
2022,Machine Learning,ML/AI,INR,182542,2281.775,US,EN,PT,Hybrid,IN,S
2021,Data Scientist,Data Science,us dolars,36220,36220.0,DE,EN,FT,Hybrid,MX,S
2022,Data Analyst,Analysis,us dolars,138408,138408.0,JP,SE,FL,In-person,US,M
2020,Machine Learning,ML/AI,EUR,121851,143784.18,JP,SE,FL,Remote,DE,L
2020,Machine Learning,ML/AI,JPY,123329,1159.2926,CN,EN,FT,Remote,JP,S
2021,Data Engineer,Data Engineer,EUR,157636,192315.91999999998,DE,EX,FL,In-person,DE,L
2022,Data Analyst,Analysis,JPY,183577,1578.7622,MX,EN,FL,In-person,JP,M
2022,Statistician,Analysis ,GBP,58288,71694.24,JP,MI,FT,Hybrid,UK,S
2021,Machine Learning,ML/AI,INR,104492,1400.1928,CN,EN,FL,Hybrid,IN,L
2022,Statistician,Analysis ,us dolars,49109,49109.0,CN,EN,FL,In-person,US,L
2022,Deep Learning,DL/AI,GBP,164569,202419.87,DE,EX,FT,Remote,UK,S
2020,Statistician,Analysis ,EUR,87326,103044.68,CN,SE,PT,Hybrid,DE,L
2022,Data Analyst,Analysis,JPY,39864,342.8304,US,EN,PT,In-person,JP,M
2022,Data Engineer,Data Engineer,us dolars,117562,117562.0,US,SE,FL,Remote,CN,L
2021,Data Analyst,Analysis,INR,104310,1397.7540000000001,US,EN,CT,In-person,IN,S
2021,Data Scientist,Data Science,JPY,149454,1360.0314,UK,EN,CT,Remote,JP,M
2020,Data Engineer,Data Engineer,EUR,51017,60200.06,US,MI,FT,Hybrid,DE,S
2022,Data Analyst,Analysis,us dolars,162893,162893.0,MX,EX,FT,In-person,MX,S
2022,Data Scientist,Data Science,EUR,80337,85960.59000000001,US,MI,PT,Remote,DE,S
2022,AI Engineer,CV/AI,us dolars,113557,113557.0,DE,SE,CT,In-person,US,S
2020,Deep Learning,DL/AI,GBP,40372,52483.6,JP,MI,FT,Remote,UK,S
2020,Statistician,Analysis ,INR,130050,1755.675,MX,EN,CT,Hybrid,IN,S
2021,Data Engineer,Data Engineer,us dolars,123938,123938.0,JP,SE,CT,In-person,US,L
2020,Deep Learning,DL/AI,JPY,101333,952.5302,US,EN,FL,In-person,JP,S
2022,Data Engineer,Data Engineer,us dolars,46283,46283.0,US,EN,FL,In-person,MX,M
2022,Machine Learning,ML/AI,GBP,70857,87154.11,US,MI,CT,In-person,UK,S
2020,Statistician,Analysis ,INR,81772,1103.922,CN,EN,PT,In-person,IN,S
2022,Data Analyst,Analysis,JPY,125856,1082.3616,DE,EN,FT,In-person,JP,M
2022,Statistician,Analysis ,INR,192333,2404.1625,DE,EN,FT,In-person,IN,L
2020,Data Scientist,Data Science,INR,36107,487.4445,DE,EN,PT,Hybrid,IN,S
2020,Machine Learning,ML/AI,us dolars,65561,65561.0,JP,MI,FL,Hybrid,CN,L
2022,Data Scientist,Data Science,us dolars,196340,196340.0,MX,EX,FL,In-person,CN,S
2022,Data Scientist,Data Science,us dolars,192680,192680.0,MX,EX,PT,In-person,MX,M
2022,Data Engineer,Data Engineer,GBP,43138,53059.74,UK,MI,PT,In-person,UK,M
2021,AI Engineer,CV/AI,us dolars,198765,198765.0,JP,EX,FL,In-person,CN,M
2021,Data Scientist,Data Science,JPY,154143,1402.7013000000002,DE,EN,CT,In-person,JP,L
2021,Data Analyst,Analysis,us dolars,182320,182320.0,IN,EX,FL,Remote,CN,M
2020,Data Scientist,Data Science,us dolars,48632,48632.0,UK,EN,CT,Hybrid,MX,M
2021,Data Analyst,Analysis,us dolars,77547,77547.0,US,MI,FT,Remote,MX,L
2020,Data Engineer,Data Engineer,us dolars,42100,42100.0,CN,EN,FT,Remote,US,S
2020,Data Scientist,Data Science,us dolars,77930,77930.0,JP,MI,CT,Remote,US,S
2021,Statistician,Analysis ,us dolars,83025,83025.0,CN,MI,CT,Remote,US,L
2021,Data Engineer,Data Engineer,us dolars,108944,108944.0,UK,SE,FL,In-person,MX,M
2021,Data Analyst,Analysis,INR,180441,2417.9094,MX,EN,PT,Hybrid,IN,S
2022,Data Engineer,Data Engineer,EUR,179532,192099.24000000002,IN,EX,CT,Remote,DE,S
2021,Data Scientist,Data Science,GBP,121641,167864.58,UK,EX,FT,In-person,UK,S
2022,AI Engineer,CV/AI,us dolars,126920,126920.0,JP,SE,FL,In-person,US,L
2020,Machine Learning,ML/AI,GBP,162533,211292.9,DE,EX,FT,In-person,UK,S
2022,Data Analyst,Analysis,us dolars,72362,72362.0,US,MI,FL,Hybrid,CN,M
2021,Data Analyst,Analysis,INR,58610,785.374,DE,EN,PT,In-person,IN,S
2020,AI Engineer,CV/AI,GBP,134334,174634.2,DE,EX,PT,Hybrid,UK,L
2020,Data Analyst,Analysis,us dolars,182067,182067.0,JP,EX,FT,Remote,US,S
2020,Data Engineer,Data Engineer,us dolars,37717,37717.0,DE,EN,CT,In-person,US,M
2022,Statistician,Analysis ,us dolars,94022,94022.0,DE,MI,CT,In-person,MX,L
2021,Statistician,Analysis ,INR,81645,1094.0430000000001,JP,EN,FT,Hybrid,IN,S
2020,Data Engineer,Data Engineer,INR,59550,803.925,JP,EN,CT,In-person,IN,M
2020,Statistician,Analysis ,JPY,164648,1547.6912,IN,EN,CT,Remote,JP,M
2020,Data Scientist,Data Science,INR,70868,956.718,DE,EN,FT,In-person,IN,L
2022,Data Engineer,Data Engineer,EUR,128039,137001.73,UK,SE,FT,In-person,DE,S
2022,Data Analyst,Analysis,EUR,166800,178476.0,MX,EX,PT,In-person,DE,M
2021,Data Engineer,Data Engineer,us dolars,62800,62800.0,US,MI,FT,In-person,US,L
2022,AI Engineer,CV/AI,us dolars,40886,40886.0,CN,EN,PT,In-person,CN,L
2020,Data Analyst,Analysis,INR,75805,1023.3675,US,EN,PT,Remote,IN,L
2021,AI Engineer,CV/AI,EUR,62532,76289.04,JP,MI,FL,In-person,DE,L
2020,Data Analyst,Analysis,us dolars,142765,142765.0,CN,SE,CT,In-person,MX,L
2020,Statistician,Analysis ,EUR,58688,69251.84,JP,MI,FT,Hybrid,DE,M
2022,Data Engineer,Data Engineer,us dolars,172135,172135.0,MX,EX,CT,In-person,MX,L
2021,Data Scientist,Data Science,JPY,53089,483.10990000000004,MX,EN,FL,In-person,JP,S
2022,Data Analyst,Analysis,us dolars,63585,63585.0,IN,MI,FT,Remote,CN,S
2022,Data Analyst,Analysis,us dolars,32438,32438.0,DE,EN,FT,In-person,MX,M
2021,AI Engineer,CV/AI,us dolars,123095,123095.0,JP,SE,FL,In-person,CN,L
2020,Statistician,Analysis ,INR,184284,2487.834,MX,EN,CT,Hybrid,IN,S
2020,Deep Learning,DL/AI,JPY,178055,1673.717,JP,EN,PT,In-person,JP,M
2021,Machine Learning,ML/AI,us dolars,44026,44026.0,US,EN,FL,Remote,CN,L
2020,Statistician,Analysis ,us dolars,150168,150168.0,DE,EX,FL,In-person,CN,L
2021,Data Scientist,Data Science,us dolars,80998,80998.0,IN,MI,FT,In-person,MX,S
2021,Deep Learning,DL/AI,GBP,87013,120077.93999999999,MX,SE,PT,Hybrid,UK,L
2022,Deep Learning,DL/AI,JPY,81039,696.9354,JP,EN,FL,In-person,JP,M
2021,Data Analyst,Analysis,us dolars,195675,195675.0,JP,EX,CT,Remote,CN,S
2022,Statistician,Analysis ,GBP,136446,167828.58,JP,EX,FL,Hybrid,UK,M
2020,Data Engineer,Data Engineer,GBP,128452,166987.6,US,EX,CT,Remote,UK,M
2020,Data Scientist,Data Science,us dolars,174177,174177.0,MX,EX,FT,Hybrid,CN,L
2020,Data Scientist,Data Science,us dolars,97182,97182.0,JP,MI,FL,Remote,MX,S
2020,Statistician,Analysis ,INR,82147,1108.9845,JP,EN,CT,In-person,IN,S
2022,Data Analyst,Analysis,GBP,105400,129642.0,US,SE,FT,Remote,UK,M
2020,Data Analyst,Analysis,GBP,76434,99364.2,JP,MI,FT,Remote,UK,M
2021,Statistician,Analysis ,JPY,56515,514.2865,DE,EN,FT,Hybrid,JP,L
2021,Data Analyst,Analysis,INR,88001,1179.2134,DE,EN,FL,Remote,IN,M
2021,Data Scientist,Data Science,us dolars,178032,178032.0,US,EX,FT,In-person,MX,M
2022,Data Scientist,Data Science,INR,139591,1744.8875,DE,EN,FT,Hybrid,IN,M
2020,Data Engineer,Data Engineer,GBP,75778,98511.40000000001,CN,MI,CT,Hybrid,UK,M
2020,Statistician,Analysis ,us dolars,192013,192013.0,CN,EX,FT,Remote,MX,S
2020,Deep Learning,DL/AI,JPY,125849,1182.9806,CN,EN,FL,Hybrid,JP,S
2022,Deep Learning,DL/AI,JPY,133083,1144.5138,IN,EN,PT,In-person,JP,S
2021,Data Engineer,Data Engineer,JPY,131276,1194.6116,JP,EN,FT,In-person,JP,M
2021,Data Engineer,Data Engineer,JPY,86908,790.8628,IN,EN,FL,In-person,JP,S
2020,Data Analyst,Analysis,us dolars,179501,179501.0,DE,EX,FT,Remote,US,L
2021,Data Engineer,Data Engineer,us dolars,124048,124048.0,US,SE,FL,Remote,MX,L
2021,Data Engineer,Data Engineer,us dolars,175919,175919.0,CN,EX,FT,In-person,CN,S
2022,Deep Learning,DL/AI,GBP,64256,79034.88,US,MI,CT,Hybrid,UK,S
2022,Data Analyst,Analysis,GBP,157025,193140.75,IN,EX,PT,Hybrid,UK,S
2022,Data Engineer,Data Engineer,GBP,189846,233510.58,DE,EX,PT,Remote,UK,M
2022,Data Engineer,Data Engineer,INR,157343,1966.7875000000001,MX,EN,FL,Hybrid,IN,S
2020,Data Analyst,Analysis,us dolars,39127,39127.0,JP,EN,FL,In-person,MX,S
2022,Statistician,Analysis ,INR,148251,1853.1375,MX,EN,PT,Hybrid,IN,M
2021,Data Analyst,Analysis,JPY,189277,1722.4207000000001,DE,EN,CT,In-person,JP,S
2020,Machine Learning,ML/AI,us dolars,111163,111163.0,CN,SE,CT,In-person,CN,L
2021,Statistician,Analysis ,us dolars,148279,148279.0,DE,SE,FT,Remote,MX,M
2021,Data Scientist,Data Science,INR,131824,1766.4416,US,EN,CT,Hybrid,IN,L
2021,Data Analyst,Analysis,EUR,68664,83770.08,UK,MI,PT,In-person,DE,M
2022,Deep Learning,DL/AI,us dolars,86795,86795.0,CN,MI,PT,In-person,MX,M
2022,Statistician,Analysis ,GBP,151729,186626.66999999998,MX,EX,CT,Hybrid,UK,M
2020,Data Analyst,Analysis,GBP,193405,251426.5,JP,EX,CT,In-person,UK,S
2020,Data Engineer,Data Engineer,us dolars,66079,66079.0,CN,MI,PT,Remote,US,L
2022,Data Analyst,Analysis,us dolars,114225,114225.0,CN,SE,PT,Hybrid,US,S
2021,Data Scientist,Data Science,EUR,54259,66195.98,JP,MI,PT,In-person,DE,S
2020,Data Analyst,Analysis,us dolars,56571,56571.0,MX,MI,PT,Hybrid,US,L
2022,Statistician,Analysis ,us dolars,81119,81119.0,CN,MI,PT,In-person,CN,L
2022,Statistician,Analysis ,JPY,38009,326.8774,US,EN,CT,Hybrid,JP,S
2022,Data Analyst,Analysis,JPY,140210,1205.806,DE,EN,CT,Hybrid,JP,S
2021,Statistician,Analysis ,us dolars,91829,91829.0,US,MI,FT,Hybrid,MX,S
2022,Data Engineer,Data Engineer,GBP,68230,83922.9,DE,MI,FT,Remote,UK,L
2022,Data Analyst,Analysis,JPY,141364,1215.7304,UK,EN,FL,Hybrid,JP,S
2022,Data Engineer,Data Engineer,us dolars,86049,86049.0,CN,MI,FT,Remote,US,L
2022,Data Engineer,Data Engineer,EUR,131762,140985.34,UK,SE,CT,Hybrid,DE,S
2020,Machine Learning,ML/AI,us dolars,153273,153273.0,IN,EX,FT,In-person,CN,L
2020,Data Analyst,Analysis,JPY,149466,1404.9804000000001,MX,EN,FT,Hybrid,JP,S
2022,Statistician,Analysis ,GBP,197570,243011.1,DE,EX,CT,Hybrid,UK,M
2021,Data Engineer,Data Engineer,GBP,149053,205693.13999999998,US,EX,PT,In-person,UK,M
2020,Deep Learning,DL/AI,us dolars,189892,189892.0,US,EX,CT,Remote,CN,L
2022,Data Analyst,Analysis,us dolars,125018,125018.0,CN,SE,CT,Remote,US,L
2020,Data Analyst,Analysis,JPY,62795,590.273,US,EN,FL,Remote,JP,M
2020,Data Scientist,Data Science,us dolars,143812,143812.0,IN,SE,FL,Remote,US,L
2021,Data Scientist,Data Science,GBP,115411,159267.18,JP,EX,FL,In-person,UK,L
2022,Data Engineer,Data Engineer,EUR,69191,74034.37000000001,US,MI,PT,Remote,DE,M
2022,Data Scientist,Data Science,JPY,42453,365.0958,CN,EN,FT,Remote,JP,S
2021,Data Engineer,Data Engineer,us dolars,150848,150848.0,UK,EX,FL,Remote,MX,L
2021,Statistician,Analysis ,EUR,144165,175881.3,MX,EX,CT,Remote,DE,L
2022,Data Engineer,Data Engineer,us dolars,79993,79993.0,US,MI,FL,Remote,CN,S
2022,Data Scientist,Data Science,JPY,140780,1210.708,US,EN,CT,Hybrid,JP,S
2021,Statistician,Analysis ,GBP,75706,104474.28,US,SE,PT,Hybrid,UK,L
2020,Data Scientist,Data Science,JPY,121434,1141.4796000000001,CN,EN,FL,Remote,JP,L
2020,Data Engineer,Data Engineer,GBP,80799,105038.7,MX,SE,CT,In-person,UK,S
2021,Deep Learning,DL/AI,INR,149586,2004.4524000000001,JP,EN,FT,In-person,IN,L
2020,Data Analyst,Analysis,GBP,90964,118253.2,US,SE,PT,Hybrid,UK,S
2021,Data Scientist,Data Science,GBP,127379,175783.02,JP,EX,CT,In-person,UK,S
2020,Data Engineer,Data Engineer,us dolars,139987,139987.0,JP,SE,FT,Hybrid,CN,L
2020,Statistician,Analysis ,JPY,91926,864.1044,MX,EN,FT,Remote,JP,L
2022,Data Scientist,Data Science,EUR,33801,36167.07,MX,EN,CT,Remote,DE,S
2022,Data Scientist,Data Science,GBP,70144,86277.12,IN,MI,FL,In-person,UK,L
2020,Data Analyst,Analysis,JPY,124478,1170.0932,UK,EN,FT,In-person,JP,S
2020,Data Engineer,Data Engineer,GBP,171220,222586.0,US,EX,PT,In-person,UK,S
2022,Deep Learning,DL/AI,us dolars,142364,142364.0,US,SE,FT,In-person,US,M
2022,Statistician,Analysis ,us dolars,112819,112819.0,US,SE,FL,In-person,US,S
2022,Data Engineer,Data Engineer,us dolars,180933,180933.0,JP,EX,PT,In-person,US,S
2021,Statistician,Analysis ,us dolars,183552,183552.0,MX,EX,PT,In-person,US,L
2020,Data Scientist,Data Science,EUR,48637,57391.659999999996,DE,MI,PT,In-person,DE,S
2022,Data Analyst,Analysis,us dolars,74621,74621.0,UK,MI,CT,In-person,CN,S
2020,Data Analyst,Analysis,GBP,77431,100660.3,CN,SE,FT,Hybrid,UK,L
2021,AI Engineer,CV/AI,us dolars,129937,129937.0,US,SE,FL,In-person,US,S
2021,Data Analyst,Analysis,JPY,86172,784.1652,DE,EN,CT,In-person,JP,M
2022,Data Scientist,Data Science,us dolars,55437,55437.0,DE,MI,CT,Hybrid,US,S
2021,Deep Learning,DL/AI,INR,169221,2267.5614,MX,EN,PT,Hybrid,IN,S
2020,Data Engineer,Data Engineer,INR,175743,2372.5305,DE,EN,CT,Hybrid,IN,M
2022,Data Analyst,Analysis,us dolars,53119,53119.0,UK,MI,FT,Hybrid,CN,S
2020,Machine Learning,ML/AI,EUR,177351,209274.18,DE,EX,CT,In-person,DE,L
2020,Data Scientist,Data Science,us dolars,98835,98835.0,CN,MI,CT,Remote,MX,S
2021,Statistician,Analysis ,INR,165875,2222.725,US,EN,PT,Remote,IN,L
2021,Statistician,Analysis ,JPY,90805,826.3255,CN,EN,PT,Remote,JP,S
2021,Data Scientist,Data Science,us dolars,48201,48201.0,US,EN,CT,In-person,US,S
2021,Data Scientist,Data Science,INR,58634,785.6956,IN,EN,PT,In-person,IN,L
